treatment	id	game	period	choice	other_choice	session
Control	53	9	1	d	d	contr_1
Control	53	9	2	d	c	contr_1
Control	53	9	3	c	c	contr_1
Control	53	10	1	d	d	contr_1
Control	53	11	1	d	d	contr_1
Control	53	12	1	d	d	contr_1
Control	53	12	2	d	d	contr_1
Control	53	13	1	d	c	contr_1
Control	53	13	2	c	d	contr_1
Control	53	14	1	d	d	contr_1
Control	53	14	2	d	d	contr_1
Control	53	14	3	c	d	contr_1
Control	53	14	4	d	c	contr_1
Control	53	15	1	d	d	contr_1
Control	53	16	1	d	c	contr_1
Control	53	16	2	c	d	contr_1
Control	53	16	3	c	d	contr_1
Control	53	16	4	d	d	contr_1
Control	53	17	1	d	d	contr_1
Control	53	17	2	d	d	contr_1
Control	53	17	3	d	d	contr_1
Control	53	17	4	c	d	contr_1
Control	53	17	5	d	c	contr_1
Control	53	17	6	c	d	contr_1
Control	53	17	7	c	c	contr_1
Control	53	17	8	c	c	contr_1
Control	53	17	9	c	c	contr_1
Control	53	17	10	c	c	contr_1
Control	53	17	11	c	c	contr_1
Control	53	18	1	d	d	contr_1
Control	53	19	1	d	d	contr_1
Control	53	19	2	d	d	contr_1
Control	53	19	3	d	d	contr_1
Control	53	19	4	d	d	contr_1
Control	53	20	1	c	d	contr_1
Control	53	21	1	d	c	contr_1
Control	53	21	2	c	c	contr_1
Control	53	22	1	d	c	contr_1
Control	53	22	2	c	d	contr_1
Control	53	22	3	c	d	contr_1
Control	53	22	4	d	d	contr_1
Control	53	22	5	d	d	contr_1
Control	53	23	1	d	c	contr_1
Control	53	23	2	c	d	contr_1
Control	53	23	3	c	c	contr_1
Control	53	24	1	d	d	contr_1
Control	53	24	2	d	d	contr_1
Control	53	24	3	d	d	contr_1
Control	53	24	4	d	d	contr_1
Control	53	24	5	d	d	contr_1
Control	53	24	6	d	d	contr_1
Control	53	25	1	d	c	contr_1
Control	53	25	2	c	d	contr_1
Control	53	25	3	c	d	contr_1
Control	53	25	4	d	d	contr_1
Control	53	25	5	d	d	contr_1
Control	53	26	1	d	d	contr_1
Control	53	27	1	d	c	contr_1
Control	53	27	2	c	d	contr_1
Control	53	27	3	c	d	contr_1
Control	53	27	4	d	c	contr_1
Control	53	27	5	d	d	contr_1
Control	53	27	6	d	d	contr_1
Control	54	1	1	d	c	contr_1
Control	54	1	2	d	d	contr_1
Control	54	1	3	c	d	contr_1
Control	54	1	4	d	c	contr_1
Control	54	1	5	d	d	contr_1
Control	54	1	6	d	d	contr_1
Control	54	1	7	c	c	contr_1
Control	54	1	8	c	c	contr_1
Control	54	1	9	c	d	contr_1
Control	54	1	10	d	c	contr_1
Control	54	1	11	d	d	contr_1
Control	54	1	12	d	d	contr_1
Control	54	1	13	d	c	contr_1
Control	54	1	14	d	d	contr_1
Control	54	2	1	c	d	contr_1
Control	54	2	2	d	d	contr_1
Control	54	2	3	d	d	contr_1
Control	54	2	4	d	d	contr_1
Control	54	2	5	d	d	contr_1
Control	54	2	6	d	d	contr_1
Control	54	2	7	d	d	contr_1
Control	54	2	8	d	d	contr_1
Control	54	3	1	c	d	contr_1
Control	54	3	2	d	d	contr_1
Control	54	3	3	d	d	contr_1
Control	54	4	1	c	c	contr_1
Control	54	5	1	c	d	contr_1
Control	54	5	2	d	d	contr_1
Control	54	5	3	d	c	contr_1
Control	54	6	1	c	d	contr_1
Control	54	7	1	c	d	contr_1
Control	54	7	2	d	d	contr_1
Control	54	7	3	d	d	contr_1
Control	54	7	4	d	d	contr_1
Control	54	7	5	d	d	contr_1
Control	54	7	6	d	d	contr_1
Control	54	7	7	d	d	contr_1
Control	54	7	8	d	d	contr_1
Control	54	7	9	d	c	contr_1
Control	54	7	10	d	c	contr_1
Control	54	7	11	d	d	contr_1
Control	54	8	1	c	d	contr_1
Control	54	8	2	d	d	contr_1
Control	54	8	3	d	d	contr_1
Control	54	9	1	d	d	contr_1
Control	54	9	2	d	d	contr_1
Control	54	9	3	d	d	contr_1
Control	54	10	1	d	d	contr_1
Control	54	11	1	d	c	contr_1
Control	54	12	1	d	d	contr_1
Control	54	12	2	d	d	contr_1
Control	54	13	1	d	d	contr_1
Control	54	13	2	d	d	contr_1
Control	54	14	1	d	d	contr_1
Control	54	14	2	d	d	contr_1
Control	54	14	3	d	d	contr_1
Control	54	14	4	d	c	contr_1
Control	54	15	1	d	c	contr_1
Control	54	16	1	d	d	contr_1
Control	54	16	2	d	d	contr_1
Control	54	16	3	d	d	contr_1
Control	54	16	4	d	d	contr_1
Control	54	17	1	d	d	contr_1
Control	54	17	2	d	d	contr_1
Control	54	17	3	d	d	contr_1
Control	54	17	4	d	d	contr_1
Control	54	17	5	d	d	contr_1
Control	54	17	6	d	d	contr_1
